formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,cbm,vbm
Ba2TiO4,3.4606,-3.3453500662301585,0.05374114781746,714.8217959309236,4.9422818256624375,39.666666666666664,4.5535,1.0929
Ba2TiOF6,3.9,-3.988466961833334,0.010474552249999,322.66182526566257,4.657581619530583,20.0,3.109,-0.791
Ba2Tm2Zn8O13,1.621299999999999,-2.394862740600001,0.039719105833331,370.4040469761602,6.024259718274584,25.0,2.7013,1.08
Ba2UZnO6,1.786299999999999,-3.176747228999998,0.0,153.53428451999207,7.290553875916997,10.0,4.9128,3.1265
Ba2V(CuS2)3,0.682399999999999,-1.308857779999999,0.038517974583332,534.4644392001387,4.403275200205385,24.0,4.4932,3.8108
Ba2V2ZnO8,3.4759,-2.745950435961538,0.0024909946154,832.1545982567941,4.549200978988435,52.0,3.6522,0.1763
Ba2WO3F4,3.9748,-3.354204817999999,0.019580530625004,332.74118090861,5.813770602444996,20.0,3.4181,-0.5567
Ba2WO5,3.1569,-2.869734222187485,0.0,497.1860010873952,7.193970389808469,32.0,5.0143,1.8574
Ba2Y2Zn8O13,1.6886,-2.3680574742,0.039284176083331,375.6590811981369,5.232482965627453,25.0,2.7972,1.1086
Ba2YWO6,1.7928000000000002,-3.12685046075,0.0,619.8072903524679,6.894947026656483,40.0,5.2914,3.4986
Ba2Zn(BO2)6,4.2769,-2.924281693809524,0.00586544196425,552.3190597985699,3.589273087793441,42.0,4.7719000000000005,0.495
Ba2Zn(BO3)2,3.332799999999999,-2.90650200871212,0.0,1389.876294418562,4.374477629746853,88.0,4.1559,0.8231
Ba2Zn2TeP2O11,4.1025,-2.639456902691799,0.0,1119.002556490042,4.576565348237934,72.0,5.441,1.3385
Ba2Zn3(AsO)2,0.1176,-1.413042618333334,0.012264126018519,179.73505159876666,6.03038768190828,9.0,3.3349,3.2173
Ba2Zn3(PO)2,0.414,-1.41142985547619,0.123299475671833,171.1375639238263,5.480490757731043,9.0,3.7605,3.3465
Ba2Zn3(PO3)10,4.945,-2.687640255031746,0.006208655611111,1285.696739564013,3.256252446591757,90.0,5.176,0.231
Ba2ZnAg2(SeO)2,1.318699999999999,-1.655471332002314,0.017617856296297,381.665139679105,6.488903884781094,18.0,3.8026,2.4839
Ba2ZnGe2O7,3.1063,-2.580144032916666,0.0,406.2040698126343,4.883773881701824,24.0,3.8717,0.7654000000000001
Ba2ZnGe2S6O,2.1081,-1.577256675416665,0.0,620.0753115673024,3.715580125434953,24.0,3.5588,1.4507
Ba2ZnMoO6,2.385199999999999,-2.540304109,0.0,139.90959478307295,6.314118688410634,10.0,4.7146,2.3294
Ba2ZnO3,2.6704,-2.534313652916667,0.0,424.971005567963,6.065268212549831,24.0,4.2791,1.6087
Ba2ZnS3,2.0587999999999997,-1.9104492185416648,0.001791400625,653.1613171152597,4.436415546112844,24.0,4.0306,1.9718
Ba2ZnSi2O7,4.0027,-3.146197094999999,0.0,371.1014187351236,4.548273841618857,24.0,5.4075,1.4048
Ba2ZnTeO6,0.444399999999999,-2.367489561666666,0.0,141.04458602176385,6.636046659826348,10.0,3.5705,3.1261
Ba2ZnWO6,3.3679,-2.6546294450000003,0.0,140.91578560646107,7.304839316843029,10.0,5.5476,2.1797
Ba2ZrTiO6,2.2161,-3.5609177323333343,0.004841601999968,142.60745998415732,5.935492495675971,10.0,4.7561,2.54
Ba3CaTiWO9,3.146,-3.169030266555554,0.016886773333324,467.45572887347737,5.880894079123753,30.0,5.1941,2.0481
Ba3Cd(SnS4)2,2.0791,-1.48787850767857,0.004462501964277,1673.8646506646155,4.04090036335375,56.0,4.0631,1.984
Ba3Dy2WO9,2.2084,-3.264355978222221,0.0,484.1512605917683,7.304196225098307,30.0,4.8338,2.6254
Ba3Fe2WO9,1.515899999999999,-2.522751010666667,0.0,427.786929168225,6.610572777330655,30.0,4.292,2.7761
Ba3In2WO9,2.6808999999999994,-2.604986339555555,0.004232211,340.10372867237845,7.100874681692121,22.5,6.2308,3.5499
Ba3La2Ti2Nb2O15,2.3876,-3.460355204236111,0.049812327013889,333.73907784564324,6.027044547396914,24.0,5.981,3.5934
Ba3La2Ti3Cr2O15,1.547199999999999,-3.3461760694,0.027840054999995,636.2776218847339,6.145364882585441,50.0,6.2574,4.7102
Ba3La3Mn2(WO6)3,1.494999999999999,-2.85663138382283,0.117436121729902,407.9987543555088,7.236727454375725,29.0,6.7471,5.2521
Ba3La3Ti4NbO18,2.408299999999999,-3.539705683390805,0.066113689224138,385.91961151605767,6.028500338308067,29.0,6.6101,4.2018
Ba3La7Ti3Cr7O30,1.854099999999999,-3.255805064899999,0.029514669550007,624.8359106322749,6.303400644820496,50.0,7.4835,5.6294
Ba3LaIn(WO6)2,3.0435,-2.79071336008772,0.066439647434206,272.8412401675984,7.457768579664664,19.0,6.4963,3.4528
